Country / Economy,Region,Income
Botswana,SUB-SAHARAN AFRICA ,UPPER-MIDDLE-INCOME  
Brazil,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
British Virgin Islands,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Brunei Darussalam,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Bulgaria,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Burkina Faso,SUB-SAHARAN AFRICA ,LOW-INCOME  
Burundi,SUB-SAHARAN AFRICA ,LOW-INCOME  
Cabo Verde,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Cambodia,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Cameroon,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Canada,NORTH AMERICA,HIGH-INCOME  
Cayman Islands,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Central African Republic,SUB-SAHARAN AFRICA ,LOW-INCOME  
Chad,SUB-SAHARAN AFRICA ,LOW-INCOME  
Channel Islands,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Chile,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
China,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  
Colombia,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Comoros,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Dem. Rep. of the Congo,SUB-SAHARAN AFRICA ,#N/A
Congo,SUB-SAHARAN AFRICA ,#N/A
Costa Rica,LATIN AMERICA AND THE CARIBBEAN,#N/A
Cote d'Ivoire,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Croatia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Cuba,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Curacao,LATIN AMERICA AND THE CARIBBEAN,#N/A
Cyprus,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Czechia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Denmark,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Djibouti,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  
Dominica,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Dominican Rep.,LATIN AMERICA AND THE CARIBBEAN,#N/A
Ecuador,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Egypt,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  
El Salvador,LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  
Equatorial Guinea,SUB-SAHARAN AFRICA ,#N/A
Eritrea,SUB-SAHARAN AFRICA ,LOW-INCOME  
Estonia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Eswatini,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Ethiopia,SUB-SAHARAN AFRICA ,LOW-INCOME  
Faroe Islands,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Fiji,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  
Finland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
France,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
French Polynesia,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Gabon,SUB-SAHARAN AFRICA ,UPPER-MIDDLE-INCOME  
Gambia,SUB-SAHARAN AFRICA ,LOW-INCOME  
Georgia,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Germany,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Ghana,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Gibraltar,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Greece,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Greenland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Grenada,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Guam,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Guatemala,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Guinea,SUB-SAHARAN AFRICA ,LOW-INCOME  
Guinea-Bissau,SUB-SAHARAN AFRICA ,LOW-INCOME  
Guyana,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Haiti,LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  
Honduras,LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  
"Hong Kong SAR, China",EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Hungary,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Iceland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
India,SOUTH ASIA ,LOWER-MIDDLE INCOME  
Indonesia,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Iran (Islamic Rep. of),MIDDLE EAST AND NORTH AFRICA ,#N/A
Iraq,MIDDLE EAST AND NORTH AFRICA ,UPPER-MIDDLE-INCOME  
Ireland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Isle of Man,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Israel,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  
Italy,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Jamaica,LATIN AMERICA AND THE CARIBBEAN,#N/A
Japan,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Jordan,MIDDLE EAST AND NORTH AFRICA ,UPPER-MIDDLE-INCOME  
Kazakhstan,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Kenya,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Kiribati,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
"Korea, Dem. People's Rep.",EAST ASIA AND PACIFIC  ,#N/A
"Korea, Rep.",EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Rep. of Korea,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Kosovo,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Kuwait,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  
Kyrgyzstan,EUROPE AND CENTRAL ASIA ,LOWER-MIDDLE INCOME  
Lao PDR,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Latvia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Lebanon,MIDDLE EAST AND NORTH AFRICA ,UPPER-MIDDLE-INCOME  
Lesotho,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Liberia,SUB-SAHARAN AFRICA ,LOW-INCOME  
Libya,MIDDLE EAST AND NORTH AFRICA ,UPPER-MIDDLE-INCOME  
Liechtenstein,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Lithuania,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Luxembourg,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
"Macao SAR, China",EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Madagascar,SUB-SAHARAN AFRICA ,LOW-INCOME  
Malawi,SUB-SAHARAN AFRICA ,LOW-INCOME  
Malaysia,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  
Maldives,SOUTH ASIA ,UPPER-MIDDLE-INCOME  
Mali,SUB-SAHARAN AFRICA ,LOW-INCOME  
Malta,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  
Marshall Islands,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  
Mauritania,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Mauritius,SUB-SAHARAN AFRICA ,UPPER-MIDDLE-INCOME  
Mexico,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
"Micronesia, Fed. Sts.",EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Rep. of Moldova,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Monaco,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Mongolia,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Montenegro,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Morocco,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  
Mozambique,SUB-SAHARAN AFRICA ,LOW-INCOME  
Myanmar,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Namibia,SUB-SAHARAN AFRICA ,UPPER-MIDDLE-INCOME  
Nauru,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Nepal,SOUTH ASIA ,LOWER-MIDDLE INCOME  
Netherlands,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
New Caledonia,EAST ASIA AND PACIFIC  ,#N/A
New Zealand,EAST ASIA AND PACIFIC  ,#N/A
Nicaragua,LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  
Niger,SUB-SAHARAN AFRICA ,LOW-INCOME  
Nigeria,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
North Macedonia,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Northern Mariana Islands,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Norway,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Oman,MIDDLE EAST AND NORTH AFRICA ,#N/A
Pakistan,SOUTH ASIA ,LOWER-MIDDLE INCOME  
Palau,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Panama,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Papua New Guinea,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Paraguay,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Peru,LATIN AMERICA AND THE CARIBBEAN,#N/A
Philippines,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Poland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Portugal,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Puerto Rico,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Qatar,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  
Romania,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Russian Federation,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Rwanda,SUB-SAHARAN AFRICA ,LOW-INCOME  
Samoa,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
San Marino,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
São Tomé and Principe,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Saudi Arabia,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  
Senegal,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Serbia,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Seychelles,SUB-SAHARAN AFRICA ,HIGH-INCOME  
Sierra Leone,SUB-SAHARAN AFRICA ,LOW-INCOME  
Singapore,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Sint Maarten (Dutch part),LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Slovakia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Slovenia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Solomon Islands,EAST ASIA AND PACIFIC  ,#N/A
Somalia,SUB-SAHARAN AFRICA ,LOW-INCOME  
South Africa,SUB-SAHARAN AFRICA ,UPPER-MIDDLE-INCOME  
South Sudan,SUB-SAHARAN AFRICA ,LOW-INCOME  
Spain,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Sri Lanka,SOUTH ASIA ,LOWER-MIDDLE INCOME  
St. Kitts and Nevis,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
St. Lucia,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
St. Martin (French part),LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
St. Vincent and the Grenadines,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Sudan,SUB-SAHARAN AFRICA ,LOW-INCOME  
Suriname,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Sweden,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Switzerland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Syrian Arab Republic,MIDDLE EAST AND NORTH AFRICA ,#N/A
"Taiwan, China",EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Tajikistan,EUROPE AND CENTRAL ASIA ,LOWER-MIDDLE INCOME  
United Rep. of Tanzania,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Thailand,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  
Timor-Leste,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Togo,SUB-SAHARAN AFRICA ,LOW-INCOME  
Tonga,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  
Trinidad and Tobago,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Tunisia,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  
Turkey,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Turkmenistan,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Turks and Caicos Islands,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Tuvalu,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  
Uganda,SUB-SAHARAN AFRICA ,LOW-INCOME  
Ukraine,EUROPE AND CENTRAL ASIA ,LOWER-MIDDLE INCOME  
United Arab Emirates,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  
United Kingdom of Great Britain and Northern Ireland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
United States of America,NORTH AMERICA,HIGH-INCOME  
Uruguay,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Uzbekistan,EUROPE AND CENTRAL ASIA ,LOWER-MIDDLE INCOME  
Vanuatu,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
"Venezuela, RB",LATIN AMERICA AND THE CARIBBEAN,#N/A
Viet Nam,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Vietnam,EAST ASIA AND PACIFIC  ,LOWER-MIDDLE INCOME  
Virgin Islands (U.S.),LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
West Bank and Gaza,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  
"Yemen, Rep.",MIDDLE EAST AND NORTH AFRICA ,LOW-INCOME  
Zambia,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Zimbabwe,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
