Year,Country,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,Ref and Asyl,SUM REFUGEE,GDP_annual_change,Adjusted savings: net national savings (current US$),Adjusted savings: particulate emission damage (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Air transport, passengers carried",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),Ease of doing business score (0 = lowest performance to 100 = best performance),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GNI growth (annual %),"International tourism, expenditures (current US$)","International tourism, receipts (current US$)",Military expenditure (current USD),Population growth (annual %),Prevalence of undernourishment (% of population),Refugee population by country or territory of asylum,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Net official flows from UN agencies: Total,Country / Economy,Region,Income,Intl tourism expenditures recipts and asylum seekers,Intl tourism expenditures receipts and military,net inflows UN and refugee pop,SUM REFUGEE and undernourishment
2019,Algeria,98599.0,1725.0,0.0,0.0,0.0,100324.0,100324.0,1.0,50830849116.0,566844688.8,9.5966,6752002.0,6.24337101,248.2058716,4.716,161.3332849,86.76178998,48.59758,8.321683753,10.76629082,1.033322845,670000000.0,140000000.0,10303600575.0,1.933983344,2.5,98599.0,2.0,10.51299953,13902044.39,Algeria,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  ,1.61805e+20,9.66477733935e+26,1370727674809.61,250810.0
2016,Angola,15547.0,30131.0,0.0,0.0,0.0,45678.0,45678.0,-2.580049644,12810883681.0,716801058.8,153.9008,1482546.0,2.71314907,95.12497711,8.716,41.98650334,49.6743565,37.65132,0.293747187,1.055709859,-2.825195143,823000000.0,628000000.0,2764054937.0,3.378269432,15.4,15547.0,1.0,7.412000179,23183380.55,Angola,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  ,1.5573026564e+22,1.428585209858828e+27,360432017410.85004,703441.2000000001
2017,Angola,41119.0,30131.0,0.0,0.0,0.0,71250.0,71250.0,-0.147212941,14274077997.0,839354040.9,150.526,1375523.0,2.79150295,114.3346024,8.432,52.91251824,57.86081228,39.00774,0.325048666,0.54019943,-1.336264693,1216000000.0,884000000.0,3062872914.0,3.322158363,15.4,41119.0,1.0,7.407999992,15088332.43,Angola,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  ,3.2389137664e+22,3.292416861666816e+27,620417141189.17,1097250.0
2018,Angola,39856.0,30128.0,0.0,0.0,0.0,69984.0,69984.0,-2.003629727,14586863773.0,682431328.9,147.958,1516628.0,2.54010224,87.31073761,8.19,36.73723231,47.66218016,41.20205,0.355604536,0.557803272,-3.898864138,762000000.0,557000000.0,1983613748.0,3.276144588,15.5,39856.0,1.0,7.421000004,20435091.57,Angola,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  ,1.2787347552e+22,8.41913117518632e+26,814461009613.92,1084752.0
2019,Angola,25793.0,30178.0,0.0,0.0,61.0,55971.0,56032.0,-0.624644318,10702806251.0,584822523.0,145.39,1436959.0,2.53335953,71.32600403,7.981,29.40330087,39.66132528,41.28838,0.374130075,0.391908386,-1.540130483,717000000.0,395000000.0,1470938717.0,3.242914028,17.3,25793.0,1.0,7.421000004,53021006.29,Angola,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  ,8.54686227e+21,4.16591908735155e+26,1367570815237.97,969353.6000000001
2016,Argentina,3267.0,3917.0,0.0,0.0,181.0,7184.0,7365.0,-2.080327844,10915437690.0,794519109.0,62.939,15076354.0,9.00189686,1153.534058,7.626,716.4738335,433.5008599,57.2443,16.66727115,23.36292528,-2.438621272,12273000000.0,5466000000.0,4509647660.0,1.057181578,2.6,3267.0,2.0,8.111000061,1944329.514,Argentina,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  ,2.62768881906e+23,3.0252618672662988e+29,6352124522.238,19149.0
2017,Argentina,3332.0,4111.0,0.0,0.0,56969.0,7443.0,64412.0,2.818502978,12717237454.0,868906082.5,62.782,16749271.0,10.44225502,1529.670044,7.616,966.7296385,556.3048535,57.31005,17.84999661,22.17797517,2.388855582,14180000000.0,5830000000.0,5459643672.0,1.037133897,3.1,3332.0,2.0,8.350000381,3697195.03,Argentina,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  ,3.398539034e+23,4.513454665780368e+29,12319053839.96,199677.2
2018,Argentina,3442.0,6102.0,0.0,0.0,410.0,9544.0,9954.0,-2.617396463,14536766294.0,691258031.1,62.5654,18084553.0,9.66646481,1127.928467,7.609,692.6174314,431.8984299,58.18388,19.10152239,22.01028152,-3.687890117,13084000000.0,5999000000.0,3842852365.0,1.015808349,3.5,3442.0,2.0,9.220000267,4323427.752,Argentina,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  ,4.78951569432e+23,3.0162900218161634e+29,14881238322.384,34839.0
2019,Argentina,3857.0,7992.0,0.0,0.0,443.0,11849.0,12292.0,-2.025934237,16097491044.0,628522313.9,62.3488,19461377.0,9.5100708,945.9919434,7.604,589.9282328,353.6923188,58.96151,19.63610555,17.32274615,-2.350600803,9845000000.0,5654000000.0,3132654926.0,0.993397493,3.9,3857.0,2.0,9.840000153,12397309.75,Argentina,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  ,4.4486373096e+23,1.7437494471854138e+29,47816423705.75,47938.799999999996
2016,Armenia,17883.0,73.0,0.0,512.0,0.0,17956.0,18468.0,0.2,411662033.1,43172604.62,22.1604,4048658.0,9.95196629,357.4577637,9.849,58.81064273,291.9585495,70.63154,10.18921762,18.10620259,-1.3759275,1033000000.0,1037000000.0,431396218.6,0.361260408,2.8,17883.0,6.0,17.62000084,7691168.45,Armenia,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,7.8199133e+19,4.621206886849106e+26,137541165391.35,51710.399999999994
2017,Armenia,17968.0,62.0,0.0,773.0,0.0,18030.0,18803.0,7.500000002,398958007.8,42240955.22,21.49,4048658.0,10.36270523,405.6506958,9.862,53.72709008,346.7030445,71.49433,10.7076869,17.01353339,8.708442084,1218000000.0,1224000000.0,443610413.3,0.293899006,3.1,17968.0,6.0,17.70000076,2211987.644,Armenia,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,9.2431584e+19,6.613485996808657e+26,39744993987.392,58289.3
2018,Armenia,17966.0,105.0,0.0,848.0,0.0,18071.0,18919.0,5.2,194550621.4,44866130.32,20.886,53259.0,10.00543404,422.2826843,9.857,52.11013478,365.0342957,73.19187,11.7709355,16.19150706,3.374530505,1335000000.0,1358000000.0,513252026.5,0.235799808,3.2,17966.0,6.0,18.96999931,4732070.189,Armenia,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,1.9035765e+20,9.30489996402645e+26,85016373015.574,60540.8
2019,Armenia,17980.0,158.0,0.0,961.0,0.0,18138.0,19099.0,7.599999999,-466554617.3,44637121.88,20.282,193668.0,11.33526421,523.9990845,9.835,65.00251312,453.7813384,74.49401,13.04053682,15.26748038,7.284474482,1543000000.0,1553000000.0,652000174.8,0.202624028,3.4,17980.0,6.0,18.29999924,7514761.949,Armenia,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,3.78612082e+20,1.562374326869569e+27,135115419843.02,64936.6
2016,Australia,42187.0,29633.0,0.0,0.0,0.0,71820.0,71820.0,2.741643069,36863973738.0,229121682.9,11.8324,72446421.0,9.24815178,4993.689453,6.6,3422.322827,1571.36717,80.22369,30.39231558,34.95075077,3.1814661893366343,35718000000.0,39059000000.0,26382947050.0,1.561940498,2.5,42187.0,11.0,5.710000038,0.0,Australia,EAST ASIA AND PACIFIC  ,HIGH-INCOME  ,4.1341275724146e+25,3.680709642660528e+31,0.0,179550.0
2017,Australia,48480.0,48029.0,0.0,52.0,0.0,96509.0,96561.0,2.295926947,57050205591.0,243568487.4,11.715,74257326.0,9.26682281,5340.364746,6.5,3668.343198,1672.022137,80.76007,32.22339821,34.41175825,3.1814661893366343,39710000000.0,43975000000.0,27691112417.0,1.684523108,2.5,48480.0,11.0,5.590000153,0.0,Australia,EAST ASIA AND PACIFIC  ,HIGH-INCOME  ,8.387050917025e+25,4.835552890762711e+31,0.0,241402.5
2018,Australia,56934.0,60645.0,0.0,132.0,0.0,117579.0,117711.0,2.87097248,63470324894.0,262449765.5,11.3258,75667645.03,9.1550045,5364.542969,6.3,3689.900787,1674.641832,80.70552,33.8471546,32.93417118,3.1814661893366343,42439000000.0,47327000000.0,26839820914.0,1.536105516,2.5,56934.0,11.0,5.300000191,0.0,Australia,EAST ASIA AND PACIFIC  ,HIGH-INCOME  ,1.21806122486685e+26,5.390806354639911e+31,0.0,294277.5
2019,Australia,58529.0,77363.0,0.0,0.0,0.0,135892.0,135892.0,2.113149425,68059543502.0,267526445.7,10.9366,76850596.72,9.91078568,5427.462402,6.7,3890.514399,1536.952063,81.21506,34.54134273,24.60005274,3.1814661893366343,41345000000.0,47953000000.0,26079346314.0,1.521653677,2.5,58529.0,11.0,5.159999847,0.0,Australia,EAST ASIA AND PACIFIC  ,HIGH-INCOME  ,1.53381182337955e+26,5.170534974396428e+31,0.0,339730.0
2016,Austria,93242.0,76382.0,0.0,937.0,0.0,169624.0,170561.0,1.989437162,36750225569.0,169791601.0,7.5648,14724774.0,10.3522625,4709.875977,9.2,3408.049573,1301.825001,78.85646,28.84661223,40.78057906,3.423796679,11634000000.0,20965000000.0,2885947386.0,1.081396299,2.5,93242.0,4.0,6.010000229,0.0,Austria,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.8630089961419999e+25,7.039022207470986e+29,0.0,426402.5
2017,Austria,115252.0,56279.0,0.0,1003.0,0.0,171531.0,172534.0,2.258572433,35065164046.0,165333654.8,7.34,16171640.0,10.38460541,4938.919922,9.5,3541.207442,1397.709154,78.70694,28.47197491,42.0775698,0.701641283,12878000000.0,22424000000.0,3153118624.0,0.694621104,2.5,115252.0,4.0,5.5,0.0,Austria,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.6252039811888e+25,9.105458414124898e+29,0.0,431335.0
2018,Austria,128779.0,37347.0,0.0,1062.0,0.0,166126.0,167188.0,2.501595119,40371751283.0,180385987.5,7.0444,12935505.0,10.31750679,5322.262695,9.5,3863.314983,1458.948082,78.73995,28.35440316,42.01083115,2.216057628,14109000000.0,25413000000.0,3387982012.0,0.487071925,2.5,128779.0,4.0,4.849999905,0.0,Austria,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.3390842178899e+25,1.2147677839623182e+30,0.0,417970.0
2019,Austria,135951.0,29656.0,0.0,1132.0,0.0,165607.0,166739.0,1.49121085,45321198550.0,177445030.8,6.7488,46476602.0,10.43403149,5242.183105,9.4,3827.198257,1414.983511,78.74549,28.12921617,41.56432836,1.798662792,13922000000.0,25924000000.0,3237796686.0,0.444673639,2.5,135951.0,4.0,4.489999771,0.0,Austria,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.0703263448767998e+25,1.1685659200096425e+30,0.0,416847.5
2016,Azerbaijan,1193.0,255.0,613129.0,3585.0,0.0,1448.0,618162.0,-3.1,5856472852.0,69390178.67,54.5184,1961639.0,4.03655434,156.9957275,5.8,45.24860304,110.9496722,64.56339,18.52561662,17.46328565,3.1814661893366343,2593000000.0,2855000000.0,1396969108.0,1.11785721,2.5,1193.0,2.0,5.0,1611381.635,Azerbaijan,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,1.887768825e+21,1.034178326106062e+28,1922378290.555,1545405.0
2017,Azerbaijan,1120.0,124.0,612785.0,3585.0,0.0,1244.0,617614.0,0.2,9090413882.0,76052693.82,55.838,2331308.0,3.73651457,155.0982666,5.8,41.59234646,112.4652862,67.13946,18.3357575,17.14850305,3.1814661893366343,2803000000.0,3214000000.0,1528859592.0,0.981261805,2.5,1120.0,2.0,5.0,2166607.037,Azerbaijan,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,1.117096408e+21,1.3773254504512464e+28,2426599881.44,1544035.0
2018,Azerbaijan,1130.0,209.0,620423.0,3585.0,0.0,1339.0,625347.0,1.5,11982042079.0,86840966.56,56.4976,2279546.0,3.55621028,168.3916473,5.8,43.97442155,123.3108659,73.8979,19.00503511,16.89934919,3.1814661893366343,2453000000.0,2830000000.0,1672176471.0,0.866316916,2.5,1130.0,8.0,4.900000095,3766897.112,Azerbaijan,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,1.45087591e+21,1.160823233991729e+28,4256593736.5600004,1563367.5
2019,Azerbaijan,1109.0,181.0,652326.0,3585.0,0.0,1290.0,657201.0,2.5,10872749026.0,85486379.37,57.1572,2585280.0,4.03829002,193.1088409,5.6,61.28403363,131.2416332,78.50823,19.33785363,16.6526469,3.1814661893366343,1839000000.0,2004099976.0,1854235294.0,0.846646726,2.5,1109.0,12.0,4.849999905,9496247.962,Azerbaijan,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,6.67082713911384e+20,6.833858078186702e+27,10531338989.858,1643002.5
2016,Bahamas,9.0,17.0,0.0,0.0,0.0,26.0,26.0,3.231784734561471,2035805988.0,15776630.24,30.5602,937476.0,5.62038803,1774.021729,6.689,863.1836909,901.1631181,56.94715,22.52480618,32.03979573,-0.463693436,440000000.0,3091000000.0,1009216433.0,0.990005733,5.3,9.0,6.0,12.69999981,0.0,Bahamas,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  ,2.312068e+19,1.37257471753732e+27,0.0,137.79999999999998
2017,Bahamas,8.0,15.0,0.0,0.0,0.0,23.0,23.0,3.231784734561471,1536470133.0,15486735.33,30.001,921470.0,6.6088872,2162.423584,6.72,1196.873416,955.2940298,58.61968,22.75490825,29.823316,1.834052414,554000000.0,2951000000.0,1009216433.0,1.007285341,5.3,8.0,6.0,9.800000191,0.0,Bahamas,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  ,2.452281e+19,1.649921522355782e+27,0.0,121.89999999999999
2018,Bahamas,14.0,24.0,0.0,0.0,0.0,38.0,38.0,3.231784734561471,1435487143.0,15754634.59,29.2254,1830394.862,5.92999935,2002.412964,6.771,1000.115779,991.6506905,59.38844,21.05814535,29.42015419,0.345340854,519000000.0,3756000000.0,1009216433.0,1.012800167,5.3,14.0,6.0,10.0,0.0,Bahamas,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  ,4.6784736e+19,1.967330182698612e+27,0.0,201.4
2019,Bahamas,10.0,13.0,0.0,0.0,0.0,23.0,23.0,3.231784734561471,3066428262.0,16003146.92,28.4498,1856546.0,5.74977493,2004.616333,6.841,1041.648342,952.7391294,59.87155,21.12934616,23.39748692,2.695588955,514000000.0,4150000000.0,1009216433.0,0.99365949,5.3,10.0,6.0,10.06099987,0.0,Bahamas,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  ,2.77303e+19,2.1527595732323e+27,0.0,121.89999999999999
2016,Bahrain,270.0,111.0,0.0,0.0,0.0,381.0,381.0,3.558128119,5966453730.0,48540670.5,13.493,5220218.0,4.86063528,1098.883545,2.355,674.3210194,424.5624762,68.7147,16.29866067,19.62866954,3.681789639,3267000000.0,4021000000.0,1505534574.0,3.856576946,5.3,270.0,1.0,1.190999985,0.0,Bahrain,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  ,1.458163377e+21,1.9777616023550418e+28,0.0,2019.3
2017,Bahrain,255.0,111.0,0.0,0.0,0.0,366.0,366.0,4.290949778,7854057796.0,53709823.49,13.368,5190484.0,4.74279165,1126.066895,2.368,652.8767458,473.1902147,69.09366,12.99552365,19.0292194,4.100428298,3178000000.0,4380000000.0,1532712766.0,4.678047471,5.3,255.0,1.0,1.182999969,0.0,Bahrain,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  ,1.54508004e+21,2.133480992612424e+28,0.0,1939.8
2018,Bahrain,262.0,58.0,0.0,0.0,0.0,320.0,320.0,2.136701347,8800258230.0,57065975.56,13.239,5877003.0,4.14378214,994.1790161,2.385,584.8989124,409.2801251,70.13951,8.04844512,17.50509415,2.210266889,2522000000.0,3834000000.0,1527659574.0,4.921024296,5.3,262.0,1.0,1.200999975,0.0,Bahrain,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  ,5.60822184e+20,1.4771472046537751e+28,0.0,1696.0
2019,Bahrain,251.0,58.0,0.0,0.0,0.0,309.0,309.0,2.141376784,6080644355.0,61495707.97,13.11,6440562.0,4.01147509,940.3956909,2.408,556.7572044,383.6384689,76.02665,8.590933796,16.61093414,1.814617706,2637000000.0,3860000000.0,1557712766.0,4.468687834,5.3,251.0,3.0,1.19599998,0.0,Bahrain,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  ,5.9037156e+20,1.585567785681612e+28,0.0,1637.7
2016,Bangladesh,276203.0,0.0,0.0,0.0,0.0,276203.0,276203.0,7.113478213,64032107541.0,1962077983.0,84.0906,3815869.0,2.47291207,34.56891251,5.539,5.67698142,26.18849649,41.01625,4.173005954,0.48499608,6.408403102,843000000.0,214300003.1,3239753510.0,1.095288404,13.3,276203.0,5.0,4.349999905,89593209.51,Bangladesh,SOUTH ASIA ,LOWER-MIDDLE INCOME  ,0.0,5.852773548401468e+26,24745913246290.53,3673499.9000000004
2017,Bangladesh,932209.0,115.0,0.0,932204.0,0.0,932324.0,1864528.0,7.284174423,67253326820.0,2025391329.0,82.962,4660739.038,2.43180156,37.40678406,5.533,6.24578523,28.62951414,41.5632,4.571801118,0.443101181,5.8778005,1127000000.0,348000000.0,3266033239.0,1.075535249,12.5,932209.0,5.0,4.369999886,66835302.78,Bangladesh,SOUTH ASIA ,LOWER-MIDDLE INCOME  ,4.510254e+19,1.280925172202844e+27,62304470769241.02,23306600.0
2018,Bangladesh,906640.0,39.0,0.0,906635.0,0.0,906679.0,1813314.0,7.86375358,68547115468.0,2228326299.0,82.3128,5677396.0,2.50803041,41.90407562,5.529,7.1157897,32.05437139,42.46602,4.990118524,0.8982994,8.123171812,1207000000.0,357000000.0,3649623808.0,1.0535703,10.8,906640.0,5.0,4.413000107,66803775.3,Bangladesh,SOUTH ASIA ,LOWER-MIDDLE INCOME  ,1.6805061e+19,1.572619249243392e+27,60566974837992.0,19583791.200000003
2019,Bangladesh,854779.0,34.0,0.0,854704.0,0.0,854813.0,1709517.0,8.152684149,82201885134.0,2185566234.0,81.6636,6260241.0,2.48357606,45.85716248,5.526,8.54123854,34.51084634,45.04865,4.95902507,0.889101584,8.034112327,1389000000.0,391000000.0,4348501895.0,1.029196649,9.7,854779.0,5.0,4.438000202,215759347.4,Bangladesh,SOUTH ASIA ,LOWER-MIDDLE INCOME  ,1.8465366e+19,2.361667030672605e+27,184426559211224.6,16582314.899999999
2016,Belarus,1647.0,228.0,0.0,6182.0,0.0,1875.0,8057.0,-2.526446436,4539533162.0,93292101.59,15.8802,2057194.0,5.91054153,298.6265869,12.6,211.8482109,85.52256722,72.62337,32.47559748,47.80386047,-2.617304574,891000000.0,1019000000.0,592182331.4,0.087721088,2.5,1647.0,1.0,5.840000153,2700746.534,Belarus,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,2.07007812e+20,5.3765951196567056e+26,4448129541.498,20142.5
2017,Belarus,2155.0,273.0,0.0,6007.0,0.0,2428.0,8435.0,2.5321835,5882669770.0,101203067.2,14.507,2493100.0,5.75974846,333.5410767,12.6,230.5093659,101.7748491,73.57749,33.47310769,47.61598949,3.3812706,1082000000.0,1124500000.0,625637816.9,-0.109782323,2.5,2155.0,3.0,5.650000095,2332088.377,Belarus,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,3.32161557e+20,7.61219162562582e+26,5025650452.434999,21087.5
2018,Belarus,2225.0,184.0,0.0,6025.0,0.0,2409.0,8434.0,3.149197594,7073399874.0,111279001.7,13.7516,2760168.0,5.52699471,351.0068054,12.7,247.6800838,102.6014051,74.35306,33.86912852,47.48760052,3.263750219,1170000000.0,1221000000.0,709713316.4,-0.213824207,2.5,2225.0,3.0,4.760000229,3772935.167,Belarus,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,2.6285688e+20,1.013875152409548e+27,8394780746.575,21085.0
2019,Belarus,2725.0,131.0,0.0,6466.0,0.0,2856.0,9322.0,1.4,6417698662.0,113308891.2,12.9962,3208254.0,5.86133957,399.3970947,12.8,281.0997602,117.7399783,74.29113,34.01110045,47.10760038,2.092653863,1224500000.0,1290000000.0,773713028.7,-0.201786601,2.5,2725.0,3.0,4.159999847,5566088.59,Belarus,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,2.06928255e+20,1.2221609686996636e+27,15167591407.75,23305.0
2016,Belgium,42158.0,24098.0,0.0,2630.0,0.0,66256.0,68886.0,1.266686409,28782593251.0,225732519.1,4.9266,12545322.0,10.77319717,4534.22998,9.5,3501.824869,1032.404254,72.4092,37.60922178,38.49650621,1.474237977,16522000000.0,8784000000.0,4255489555.0,0.506300002,2.5,42158.0,4.0,7.829999924,0.0,Belgium,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,3.497324618304e+24,6.175959989890047e+29,0.0,172215.0
2017,Belgium,42158.0,18760.0,0.0,7695.0,0.0,60918.0,68613.0,1.619580278,32166886930.0,240292011.7,4.651,13676844.0,10.78312588,4775.8125,9.6,3692.657462,1083.154046,72.18146,38.34561848,37.4948554,1.172104039,17835000000.0,9636000000.0,4432808396.0,0.385228018,2.5,42158.0,4.0,7.090000153,0.0,Belgium,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,3.2240572056000004e+24,7.618138512882718e+29,0.0,171532.5
