,Year,Country of asylum,lookup,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,GDP_annual_change
0,2016,Afghanistan,Afghanistan,AFG,59770,123,1797551,0,114221,2.260314201
1,2017,Afghanistan,Afghanistan,AFG,75927,215,1837079,0,448032,2.647003202
2,2018,Afghanistan,Afghanistan,AFG,72228,281,2106893,0,489854,1.189228128
3,2019,Afghanistan,Afghanistan,AFG,72227,247,2553390,0,447093,3.911603419
4,2020,Afghanistan,Afghanistan,AFG,72278,167,2886317,0,82595,-2.351100673
5,2021,Afghanistan,Afghanistan,AFG,72226,187,3204805,0,84742,
6,2016,Albania,Albania,ALB,141,2750,0,4921,0,3.314980684
7,2017,Albania,Albania,ALB,124,32,0,4460,2719,3.8022274
8,2018,Albania,Albania,ALB,132,159,0,4160,76,4.019359686
9,2019,Albania,Albania,ALB,120,5,0,3687,153,2.113419982
10,2020,Albania,Albania,ALB,105,0,0,1031,10,-3.955397927
11,2021,Albania,Albania,ALB,107,0,0,1528,1083,
12,2016,Algeria,Algeria,DZA,94220,5700,0,0,0,3.2
13,2017,Algeria,Algeria,DZA,94248,6353,0,0,0,1.3
14,2018,Algeria,Algeria,DZA,94341,8910,0,0,0,1.1
15,2019,Algeria,Algeria,DZA,98599,1725,0,0,0,1
16,2020,Algeria,Algeria,DZA,97651,2124,0,0,0,-5.1
17,2021,Algeria,Algeria,DZA,97810,2282,0,0,0,
18,2016,Angola,Angola,AGO,15547,30131,0,0,0,-2.580049644
19,2017,Angola,Angola,AGO,41119,30131,0,0,0,-0.147212941
20,2018,Angola,Angola,AGO,39856,30128,0,0,0,-2.003629727
21,2019,Angola,Angola,AGO,25793,30178,0,0,61,-0.624644318
22,2020,Angola,Angola,AGO,25791,30278,0,0,61,-5.39998739
23,2021,Angola,Angola,AGO,25931,30282,0,0,198,
24,2019,Anguilla,#N/A,AIA,0,0,0,0,0,
25,2020,Anguilla,#N/A,AIA,0,0,0,0,0,
26,2021,Anguilla,#N/A,AIA,0,0,0,0,0,
27,2016,Antigua and Barbuda,Antigua and Barbuda,ATG,5,0,0,0,0,5.496459204
28,2016,Argentina,Argentina,ARG,3267,3917,0,0,181,-2.080327844
29,2017,Argentina,Argentina,ARG,3332,4111,0,0,56969,2.818502978
30,2018,Argentina,Argentina,ARG,3442,6102,0,0,410,-2.617396463
31,2019,Argentina,Argentina,ARG,3857,7992,0,0,443,-2.025934237
32,2020,Argentina,Argentina,ARG,3965,9176,0,0,448,-9.895268964
33,2021,Argentina,Argentina,ARG,4007,10354,0,0,448,
34,2016,Armenia,Armenia,ARM,17883,73,0,512,0,0.2
35,2017,Armenia,Armenia,ARM,17968,62,0,773,0,7.500000002
36,2018,Armenia,Armenia,ARM,17966,105,0,848,0,5.2
37,2019,Armenia,Armenia,ARM,17980,158,0,961,0,7.599999999
38,2020,Armenia,Armenia,ARM,107910,136,0,1000,0,-7.4
39,2021,Armenia,Armenia,ARM,45415,127,0,892,0,
40,2016,Aruba,Aruba,ABW,0,5,0,0,0,0
41,2017,Aruba,Aruba,ABW,0,147,0,0,0,0
42,2018,Aruba,Aruba,ABW,0,407,0,0,0,
43,2019,Aruba,Aruba,ABW,0,406,0,0,0,
44,2020,Aruba,Aruba,ABW,0,0,0,0,13,
45,2021,Aruba,Aruba,ABW,0,0,0,0,29,
46,2016,Australia,Australia,AUS,42187,29633,0,0,0,2.741643069
47,2017,Australia,Australia,AUS,48480,48029,0,52,0,2.295926947
48,2018,Australia,Australia,AUS,56934,60645,0,132,0,2.87097248
49,2019,Australia,Australia,AUS,58529,77363,0,0,0,2.113149425
50,2020,Australia,Australia,AUS,57411,80801,0,5221,46,-0.003836559
51,2021,Australia,Australia,AUS,56229,79819,0,5770,2022,
52,2016,Austria,Austria,AUT,93242,76382,0,937,0,1.989437162
53,2017,Austria,Austria,AUT,115252,56279,0,1003,0,2.258572433
54,2018,Austria,Austria,AUT,128779,37347,0,1062,0,2.501595119
55,2019,Austria,Austria,AUT,135951,29656,0,1132,0,1.49121085
56,2020,Austria,Austria,AUT,141816,20710,0,3267,0,-6.734514076
57,2021,Austria,Austria,AUT,146025,18308,0,3229,0,
58,2016,Azerbaijan,Azerbaijan,AZE,1193,255,613129,3585,0,-3.1
59,2017,Azerbaijan,Azerbaijan,AZE,1120,124,612785,3585,0,0.2
60,2018,Azerbaijan,Azerbaijan,AZE,1130,209,620423,3585,0,1.5
61,2019,Azerbaijan,Azerbaijan,AZE,1109,181,652326,3585,0,2.5
62,2020,Azerbaijan,Azerbaijan,AZE,1572,48,653921,3585,0,-4.3
63,2021,Azerbaijan,Azerbaijan,AZE,1603,42,653921,3585,0,
64,2016,Bahamas,Bahamas,BHS,9,17,0,0,0,
65,2017,Bahamas,Bahamas,BHS,8,15,0,0,0,
66,2018,Bahamas,Bahamas,BHS,14,24,0,0,0,
67,2019,Bahamas,Bahamas,BHS,10,13,0,0,0,
68,2020,Bahamas,Bahamas,BHS,15,13,0,0,0,
69,2021,Bahamas,Bahamas,BHS,20,8,0,0,0,
70,2016,Bahrain,Bahrain,BHR,270,111,0,0,0,3.558128119
71,2017,Bahrain,Bahrain,BHR,255,111,0,0,0,4.290949778
72,2018,Bahrain,Bahrain,BHR,262,58,0,0,0,2.136701347
73,2019,Bahrain,Bahrain,BHR,251,58,0,0,0,2.141376784
74,2020,Bahrain,Bahrain,BHR,256,104,0,0,0,-5.085180213
75,2021,Bahrain,Bahrain,BHR,251,107,0,0,0,
76,2016,Bangladesh,Bangladesh,BGD,276203,0,0,0,0,7.113478213
77,2017,Bangladesh,Bangladesh,BGD,932209,115,0,932204,0,7.284174423
78,2018,Bangladesh,Bangladesh,BGD,906640,39,0,906635,0,7.86375358
79,2019,Bangladesh,Bangladesh,BGD,854779,34,0,854704,0,8.152684149
80,2020,Bangladesh,Bangladesh,BGD,866534,18,0,866457,472000,3.509135882
81,2021,Bangladesh,Bangladesh,BGD,889775,27,0,889704,472000,
82,2018,Barbados,Barbados,BRB,0,5,0,0,0,-0.580333154
83,2019,Barbados,Barbados,BRB,0,10,0,0,0,-0.096135553
84,2020,Barbados,Barbados,BRB,0,5,0,0,0,-18.9795097
85,2021,Barbados,Barbados,BRB,0,5,0,0,0,
86,2016,Belarus,Belarus,BLR,1647,228,0,6182,0,-2.526446436
87,2017,Belarus,Belarus,BLR,2155,273,0,6007,0,2.5321835
88,2018,Belarus,Belarus,BLR,2225,184,0,6025,0,3.149197594
89,2019,Belarus,Belarus,BLR,2725,131,0,6466,0,1.4
90,2020,Belarus,Belarus,BLR,2900,143,0,6297,0,-0.9
91,2021,Belarus,Belarus,BLR,2924,136,0,6104,0,
92,2016,Belgium,Belgium,BEL,42158,24098,0,2630,0,1.266686409
93,2017,Belgium,Belgium,BEL,42158,18760,0,7695,0,1.619580278
94,2018,Belgium,Belgium,BEL,42158,19550,0,7695,0,1.819203664
95,2019,Belgium,Belgium,BEL,61662,10862,0,10933,0,2.149559681
96,2020,Belgium,Belgium,BEL,64973,29305,0,1264,940,-5.65965987
97,2021,Belgium,Belgium,BEL,65906,22516,0,1159,854,
98,2016,Belize,Belize,BLZ,0,2427,0,0,1709,-0.033233632
99,2017,Belize,Belize,BLZ,0,3120,0,0,2774,1.813682033
100,2018,Belize,Belize,BLZ,29,3305,0,0,2774,2.906069731
101,2019,Belize,Belize,BLZ,29,2144,0,0,3390,1.762797913
102,2020,Belize,Belize,BLZ,29,2249,0,0,3390,-14.01053215
103,2021,Belize,Belize,BLZ,65,2157,0,0,3500,
104,2016,Benin,Benin,BEN,804,224,0,0,0,3.339673426
105,2017,Benin,Benin,BEN,1056,262,0,0,0,5.671555469
106,2018,Benin,Benin,BEN,1167,308,0,0,0,6.697259461
107,2019,Benin,Benin,BEN,1238,373,0,0,0,6.865687336
108,2020,Benin,Benin,BEN,1396,464,0,0,0,3.8487924
109,2021,Benin,Benin,BEN,1427,501,0,0,0,
110,2016,Bolivia (Plurinational State of),Bolivia (Plurinational State of),BOL,776,0,0,0,0,
111,2017,Bolivia (Plurinational State of),Bolivia (Plurinational State of),BOL,802,34,0,0,0,
112,2018,Bolivia (Plurinational State of),Bolivia (Plurinational State of),BOL,802,34,0,0,0,
113,2019,Bolivia (Plurinational State of),Bolivia (Plurinational State of),BOL,863,242,0,0,0,
114,2020,Bolivia (Plurinational State of),Bolivia (Plurinational State of),BOL,1116,157,0,0,0,
115,2021,Bolivia (Plurinational State of),Bolivia (Plurinational State of),BOL,1116,35,0,0,0,
116,2016,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,5266,51,98324,49,52437,3.149806916
117,2017,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,5224,223,98574,65,48907,3.171434875
118,2018,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,5227,1003,96830,90,48907,3.740071092
119,2019,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,5241,725,96421,75,53728,2.831002603
120,2020,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,5232,256,96305,66,7645,-3.196950134
121,2021,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,416,177,96305,149,3516,
122,2016,Botswana,Botswana,BWA,2090,78,0,0,660,7.036896951
123,2017,Botswana,Botswana,BWA,2116,65,0,0,293,4.00344974
124,2018,Botswana,Botswana,BWA,2044,268,0,0,6,3.98039539
125,2019,Botswana,Botswana,BWA,1113,150,0,0,6,2.992737635
126,2020,Botswana,Botswana,BWA,617,422,0,0,6,-8.492893511
127,2021,Botswana,Botswana,BWA,644,73,0,0,11,
128,2016,Brazil,Brazil,BRA,9674,35451,0,5,22930,-3.275916906
129,2017,Brazil,Brazil,BRA,10260,85739,0,294,52341,1.322869054
130,2018,Brazil,Brazil,BRA,11304,152670,0,0,0,1.783666761
131,2019,Brazil,Brazil,BRA,32844,207294,0,7,0,1.411152985
132,2020,Brazil,Brazil,BRA,59092,202661,0,14,0,-4.059048273
133,2021,Brazil,Brazil,BRA,60848,206000,0,14,0,
134,2021,British Virgin Islands,British Virgin Islands,VGB,0,0,0,0,0,
135,2016,Brunei Darussalam,Brunei Darussalam,BRN,0,0,0,20524,0,-2.477917718
136,2017,Brunei Darussalam,Brunei Darussalam,BRN,0,0,0,20524,0,1.328602552
137,2018,Brunei Darussalam,Brunei Darussalam,BRN,0,0,0,20863,0,0.052237791
138,2019,Brunei Darussalam,Brunei Darussalam,BRN,0,0,0,20863,0,3.869109865
139,2020,Brunei Darussalam,Brunei Darussalam,BRN,0,0,0,20863,0,1.133573351
140,2021,Brunei Darussalam,Brunei Darussalam,BRN,0,0,0,20863,0,
141,2016,Bulgaria,Bulgaria,BGR,17794,16030,0,67,0,3.039825276
142,2017,Bulgaria,Bulgaria,BGR,19166,2712,0,48,0,2.76217096
143,2018,Bulgaria,Bulgaria,BGR,19906,1560,0,92,0,2.684576131
144,2019,Bulgaria,Bulgaria,BGR,20438,2060,0,116,0,4.037592082
145,2020,Bulgaria,Bulgaria,BGR,21113,1938,0,1141,0,-4.387149834
146,2021,Bulgaria,Bulgaria,BGR,21770,1691,0,1143,0,
147,2016,Burkina Faso,Burkina Faso,BFA,32551,126,0,0,0,5.957976708
148,2017,Burkina Faso,Burkina Faso,BFA,24152,43,2350,0,0,6.203489411
149,2018,Burkina Faso,Burkina Faso,BFA,25120,40,47030,0,0,6.604569068
150,2019,Burkina Faso,Burkina Faso,BFA,25869,29,560033,0,0,5.688115149
151,2020,Burkina Faso,Burkina Faso,BFA,20252,30,1074993,0,0,1.93032489
152,2021,Burkina Faso,Burkina Faso,BFA,22291,29,1312071,0,0,
153,2016,Burundi,Burundi,BDI,57462,3608,141221,974,649,-0.600020001
154,2017,Burundi,Burundi,BDI,62353,3551,57258,974,772,0.500009999
155,2018,Burundi,Burundi,BDI,71501,5658,31909,974,787,1.609933082
156,2019,Burundi,Burundi,BDI,78465,9090,33256,974,1904,1.842476677
157,2020,Burundi,Burundi,BDI,75461,4914,21863,974,1977,0.297577119
158,2021,Burundi,Burundi,BDI,76837,4929,19399,767,2179,
159,2016,Cabo Verde,Cabo Verde,CPV,0,0,0,115,0,4.705791509
160,2017,Cabo Verde,Cabo Verde,CPV,0,0,0,115,0,3.702039188
161,2018,Cabo Verde,Cabo Verde,CPV,0,0,0,115,0,4.531161684
162,2019,Cabo Verde,Cabo Verde,CPV,0,0,0,115,0,5.66775246
163,2020,Cabo Verde,Cabo Verde,CPV,0,0,0,115,0,-14.78340501
164,2021,Cabo Verde,Cabo Verde,CPV,0,0,0,115,0,
165,2016,Cambodia,Cambodia,KHM,61,170,0,0,0,6.933313973
166,2017,Cambodia,Cambodia,KHM,61,44,0,0,0,6.996903699
167,2018,Cambodia,Cambodia,KHM,0,0,0,57444,0,7.469169207
168,2019,Cambodia,Cambodia,KHM,0,27,0,57444,0,7.054106932
169,2020,Cambodia,Cambodia,KHM,0,12,0,57444,0,-3.147589098
170,2021,Cambodia,Cambodia,KHM,32,66,0,57444,0,
171,2016,Cameroon,Cameroon,CMR,375413,3237,198889,0,28,4.535794236
172,2017,Cameroon,Cameroon,CMR,337382,5765,221695,0,38,3.541176549
173,2018,Cameroon,Cameroon,CMR,380327,8092,668494,0,25,3.95551424
174,2019,Cameroon,Cameroon,CMR,406259,10065,950263,0,20,3.475059979
175,2020,Cameroon,Cameroon,CMR,436396,6809,1032942,0,215,0.491914742
176,2021,Cameroon,Cameroon,CMR,446101,6059,1032942,0,1245,
177,2016,Canada,Canada,CAN,97322,23946,0,0,0,1.001394414
178,2017,Canada,Canada,CAN,104768,51859,0,3790,0,3.039880225
179,2018,Canada,Canada,CAN,114101,78766,0,3790,0,2.777040554
180,2019,Canada,Canada,CAN,101757,97701,0,3790,0,1.879592028
181,2020,Canada,Canada,CAN,109214,85352,0,4139,0,-5.233024303
182,2021,Canada,Canada,CAN,125427,73198,0,3823,0,
183,2016,Cayman Islands,Cayman Islands,CYM,18,24,0,0,0,3.239976888
184,2017,Cayman Islands,Cayman Islands,CYM,29,28,0,0,0,3.184043376
185,2018,Cayman Islands,Cayman Islands,CYM,34,27,0,0,0,4.19434091
186,2019,Cayman Islands,Cayman Islands,CYM,34,14,0,0,0,3.817100404
187,2020,Cayman Islands,Cayman Islands,CYM,38,28,0,0,0,-6.730287428
188,2021,Cayman Islands,Cayman Islands,CYM,43,30,0,0,0,
189,2016,Central African Rep.,Central African Rep.,CAF,12117,310,411785,0,0,
190,2017,Central African Rep.,Central African Rep.,CAF,10033,571,688700,0,0,
191,2018,Central African Rep.,Central African Rep.,CAF,6652,397,640970,0,0,
192,2019,Central African Rep.,Central African Rep.,CAF,7170,309,669906,0,0,
193,2020,Central African Rep.,Central African Rep.,CAF,9083,285,681930,0,0,
194,2021,Central African Rep.,Central African Rep.,CAF,9174,293,716678,0,0,
195,2016,Chad,Chad,TCD,391235,1908,124342,0,36718,-6.255527085
196,2017,Chad,Chad,TCD,411475,660,99983,0,99103,-2.988695986
197,2018,Chad,Chad,TCD,451203,3467,165314,0,36718,2.3740378
198,2019,Chad,Chad,TCD,442670,3756,170278,0,122359,3.247181917
199,2020,Chad,Chad,TCD,478649,4568,336124,0,99765,-0.947304885
200,2021,Chad,Chad,TCD,508304,4548,401511,0,107810,
201,2016,Chile,Chile,CHL,1730,3218,0,0,0,1.711089289
202,2017,Chile,Chile,CHL,1861,8462,0,0,86687,1.184544707
203,2018,Chile,Chile,CHL,2026,11993,0,0,1989,3.713859177
204,2019,Chile,Chile,CHL,2046,8521,0,0,2073,0.942005307
205,2020,Chile,Chile,CHL,2053,8069,0,0,1866,-5.771501669
206,2021,Chile,Chile,CHL,2060,6451,0,0,1881,
207,2016,China,China,CHN,317254,647,0,0,0,6.848762205
208,2017,China,China,CHN,321714,691,0,0,0,6.947200793
209,2018,China,China,CHN,321758,583,0,0,0,6.749773832
210,2019,China,China,CHN,303379,644,0,0,0,5.949714233
211,2020,China,China,CHN,303405,743,0,0,0,2.347513573
212,2021,China,China,CHN,303430,704,0,0,0,
213,2016,"China, Hong Kong SAR","China, Hong Kong SAR",HKG,91,0,0,0,0,
214,2017,"China, Hong Kong SAR","China, Hong Kong SAR",HKG,85,5,0,0,0,
215,2018,"China, Hong Kong SAR","China, Hong Kong SAR",HKG,128,0,0,0,0,
216,2019,"China, Hong Kong SAR","China, Hong Kong SAR",HKG,128,0,0,0,0,
217,2020,"China, Hong Kong SAR","China, Hong Kong SAR",HKG,241,0,0,0,0,
218,2021,"China, Hong Kong SAR","China, Hong Kong SAR",HKG,265,0,0,0,0,
219,2016,"China, Macao SAR","China, Macao SAR",MAC,0,5,0,0,0,
220,2017,"China, Macao SAR","China, Macao SAR",MAC,0,5,0,0,0,
221,2016,Colombia,Colombia,COL,241,368,7410816,11,0,2.087382502
222,2017,Colombia,Colombia,COL,260,525,7677609,11,68734,1.359360868
223,2018,Colombia,Colombia,COL,294,2851,7816473,11,0,2.564324283
224,2019,Colombia,Colombia,COL,634,9094,7976412,11,400000,3.281116805
225,2020,Colombia,Colombia,COL,957,19933,8252788,11,1241889,-6.795758107
226,2021,Colombia,Colombia,COL,964,30599,8143758,11,1287450,
227,2016,Congo,Congo,COG,46454,6672,15303,0,3155,
228,2017,Congo,Congo,COG,48509,7092,107828,0,3862,
229,2018,Congo,Congo,COG,37491,9176,138000,0,12399,
230,2019,Congo,Congo,COG,25668,14417,134430,0,11770,
231,2020,Congo,Congo,COG,27097,13622,134430,0,11920,
232,2021,Congo,Congo,COG,38421,13651,134430,0,10098,
233,2016,Costa Rica,Costa Rica,CRI,4162,3626,0,127,0,4.204323252
234,2017,Costa Rica,Costa Rica,CRI,4479,7428,0,71,0,4.157698963
235,2018,Costa Rica,Costa Rica,CRI,4531,32595,0,82,40,2.615904404
236,2019,Costa Rica,Costa Rica,CRI,6204,87470,0,231,69,2.256315079
237,2020,Costa Rica,Costa Rica,CRI,9593,89744,0,199,0,-4.063676535
238,2021,Costa Rica,Costa Rica,CRI,9976,95275,0,205,72,
239,2016,Cote d'Ivoire,Cote d'Ivoire,CIV,1397,276,0,694000,118,7.179207824
240,2017,Cote d'Ivoire,Cote d'Ivoire,CIV,1559,368,0,692000,165,7.359638088
241,2018,Cote d'Ivoire,Cote d'Ivoire,CIV,1808,198,0,692000,104,6.89028432
242,2019,Cote d'Ivoire,Cote d'Ivoire,CIV,2020,151,0,955399,65,6.231709513
243,2020,Cote d'Ivoire,Cote d'Ivoire,CIV,2086,224,5394,954531,50,1.958332479
244,2021,Cote d'Ivoire,Cote d'Ivoire,CIV,2119,223,0,952969,50,
245,2016,Croatia,Croatia,HRV,300,529,0,2873,14518,3.532432232
246,2017,Croatia,Croatia,HRV,508,406,0,2873,8019,3.41409226
247,2018,Croatia,Croatia,HRV,787,198,0,2886,4376,2.900009599
248,2019,Croatia,Croatia,HRV,916,454,0,2886,4027,3.481945603
249,2020,Croatia,Croatia,HRV,956,567,0,2898,2520,-8.099761252
250,2021,Croatia,Croatia,HRV,965,583,0,2910,1231,
251,2016,Cuba,Cuba,CUB,312,28,0,0,0,0.513761468
252,2017,Cuba,Cuba,CUB,343,15,0,0,0,1.809054399
253,2018,Cuba,Cuba,CUB,287,24,0,0,0,2.248480393
254,2019,Cuba,Cuba,CUB,233,32,0,0,0,-0.164839982
255,2020,Cuba,Cuba,CUB,222,10,0,0,0,-10.94834097
256,2021,Cuba,Cuba,CUB,207,5,0,0,0,
257,2016,Curacao ,Curacao ,CUW,53,55,0,0,0,
258,2017,Curacao ,Curacao ,CUW,74,729,0,0,0,
259,2018,Curacao ,Curacao ,CUW,99,342,0,0,0,
260,2019,Curacao ,Curacao ,CUW,42,345,0,0,0,
261,2020,Curacao ,Curacao ,CUW,68,318,0,0,0,
262,2021,Curacao ,Curacao ,CUW,67,318,0,0,0,
263,2016,Cyprus,Cyprus,CYP,8478,3049,0,0,6000,6.454554466
264,2017,Cyprus,Cyprus,CYP,9790,5216,0,0,6000,5.852540355
265,2018,Cyprus,Cyprus,CYP,11002,10267,0,0,6000,5.692841724
266,2019,Cyprus,Cyprus,CYP,12311,18799,0,0,4000,5.283187396
267,2020,Cyprus,Cyprus,CYP,13997,20483,0,56,4000,-5.2289881
268,2021,Cyprus,Cyprus,CYP,15141,21919,0,66,4000,
269,2016,Czechia,Czechia,CZE,3640,769,0,1502,0,
270,2017,Czechia,Czechia,CZE,3640,799,0,1502,0,
271,2018,Czechia,Czechia,CZE,2186,1910,0,1502,0,
272,2019,Czechia,Czechia,CZE,2054,1632,0,1394,413,
273,2020,Czechia,Czechia,CZE,1919,1537,0,1492,1502,
274,2021,Czechia,Czechia,CZE,2052,1014,0,1498,1436,
275,2016,Dem. Rep. of the Congo,Dem. Rep. of the Congo,COD,451957,1324,2232900,0,0,
276,2017,Dem. Rep. of the Congo,Dem. Rep. of the Congo,COD,537089,807,4351376,0,0,
277,2018,Dem. Rep. of the Congo,Dem. Rep. of the Congo,COD,529065,5770,4516866,0,0,
278,2019,Dem. Rep. of the Congo,Dem. Rep. of the Congo,COD,523733,3192,5014253,0,0,
279,2020,Dem. Rep. of the Congo,Dem. Rep. of the Congo,COD,490243,1480,5198131,0,0,
280,2021,Dem. Rep. of the Congo,Dem. Rep. of the Congo,COD,519819,16595,5094035,0,0,
281,2016,Denmark,Denmark,DNK,33501,7001,0,7610,0,3.245956985
282,2017,Denmark,Denmark,DNK,35668,4229,0,7990,0,2.821736341
283,2018,Denmark,Denmark,DNK,36623,2675,0,8236,0,1.989537315
284,2019,Denmark,Denmark,DNK,37533,1462,0,8672,0,2.114664208
285,2020,Denmark,Denmark,DNK,36643,1331,0,11655,0,-2.062124959
286,2021,Denmark,Denmark,DNK,36431,844,0,11608,0,
287,2016,Djibouti,Djibouti,DJI,17683,8058,0,0,117,6.652650372
288,2017,Djibouti,Djibouti,DJI,17553,9357,0,0,88,5.403099843
289,2018,Djibouti,Djibouti,DJI,18293,10479,0,0,0,8.407662666
290,2019,Djibouti,Djibouti,DJI,19639,11224,0,0,0,7.770497257
291,2020,Djibouti,Djibouti,DJI,21193,10811,0,0,1301,0.5
292,2021,Djibouti,Djibouti,DJI,22123,11441,0,0,1301,
293,2016,Dominican Rep.,Dominican Rep.,DOM,593,787,0,0,0,
294,2017,Dominican Rep.,Dominican Rep.,DOM,594,850,0,0,0,
295,2018,Dominican Rep.,Dominican Rep.,DOM,164,327,0,0,0,
296,2019,Dominican Rep.,Dominican Rep.,DOM,164,561,0,0,0,
297,2020,Dominican Rep.,Dominican Rep.,DOM,162,625,0,0,0,
298,2021,Dominican Rep.,Dominican Rep.,DOM,162,642,0,0,0,
299,2016,Ecuador,Ecuador,ECU,102848,24542,0,0,0,-1.226383985
300,2017,Ecuador,Ecuador,ECU,92405,11895,0,0,41000,2.368386526
301,2018,Ecuador,Ecuador,ECU,101550,17044,0,0,0,1.289291933
302,2019,Ecuador,Ecuador,ECU,104560,25002,0,0,0,0.012105103
303,2020,Ecuador,Ecuador,ECU,104582,26001,0,0,0,-7.750123377
304,2021,Ecuador,Ecuador,ECU,55424,6565,0,0,0,
305,2016,Egypt,Egypt,EGY,213515,49844,0,19,0,
306,2017,Egypt,Egypt,EGY,232647,56557,0,0,0,
307,2018,Egypt,Egypt,EGY,246746,68168,0,5,0,
308,2019,Egypt,Egypt,EGY,258391,69842,0,5,0,
309,2020,Egypt,Egypt,EGY,272826,56446,0,7,0,
310,2021,Egypt,Egypt,EGY,277665,57320,0,7,0,
311,2016,El Salvador,El Salvador,SLV,41,0,0,0,9800,2.545926086
312,2017,El Salvador,El Salvador,SLV,40,5,71500,0,4200,2.246670039
313,2018,El Salvador,El Salvador,SLV,44,16,71501,0,4700,2.432287587
314,2019,El Salvador,El Salvador,SLV,48,29,71500,0,6800,2.382581398
315,2020,El Salvador,El Salvador,SLV,48,53,71500,0,1700,-8.581312158
316,2021,El Salvador,El Salvador,SLV,32,67,71500,0,290,
317,2016,Eritrea,Eritrea,ERI,2342,8,0,0,16,
318,2017,Eritrea,Eritrea,ERI,2392,0,0,0,19,
319,2018,Eritrea,Eritrea,ERI,2252,0,0,0,21,
320,2019,Eritrea,Eritrea,ERI,199,0,0,0,17,
321,2020,Eritrea,Eritrea,ERI,201,0,0,0,17,
322,2021,Eritrea,Eritrea,ERI,121,0,0,0,17,
323,2016,Estonia,Estonia,EST,312,43,0,82585,0,3.155564814
324,2017,Estonia,Estonia,EST,405,36,0,80314,0,5.792044675
325,2018,Estonia,Estonia,EST,319,30,0,77877,0,4.133819798
