OldIndex,Year,Country,data counts,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,Ref and Asyl,SUM REFUGEE,GDP_annual_change, Adjusted savings: net national savings (current US$) , Adjusted savings: particulate emission damage (current US$) ,"Adolescent fertility rate (births per 1,000 women ages 15-19)"," Air transport, passengers carried ",Current health expenditure (% of GDP), Current health expenditure per capita (current US$) ,"Death rate, crude (per 1,000 people)",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),Ease of doing business score (0 = lowest performance to 100 = best performance),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GNI growth (annual %),"Internally displaced persons, new displacement associated with disasters (number of cases)","International tourism, expenditures (current US$)"," International tourism, receipts (current US$) ", Military expenditure (current USD) ,Population growth (annual %),Prevalence of undernourishment (% of population),Refugee population by country or territory of asylum,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Net official flows from UN agencies: Total
377,2016,Germany,31,669468,587306,0,12017,0,1256774,1268791,2.229999868,"$370,000,000,000 ","$2,293,446,637.00 ",8.0886,"116,713,587.00",11.23563671,"$4,744.23 ",11.1,3666.120573,1078.109117,79.5543,38.76437445,55.1136675,3.029828024,2000,87412000000,"$52,234,000,000.00 ","$39,855,047,309.00 ",0.807218539,2.5,669468,6,4.119999886,0
398,2017,Guatemala,31,360,28,0,0,62200,388,62588,3.079851491,1096515097,459068712.4,70.93,155524,6.13921785,259.9125061,4.762,93.16503031,163.9344426,61.52534,3.139231107,14.54988688,3.147609207,45000,1066000000,1217599976,275014798.5,1.6276538,16.3,360,9,2.460000038,13658763.32
427,2016,Honduras,31,16,10,174000,0,4800,26,178826,3.892972197,3205874540,137322696.8,74.3484,275587,7.69098616,180.1677551,4.423,72.02622585,99.18885959,55.73586,2.377207133,4.777680879,3.667898341,890,482000000,585000000,363272338.5,1.71775975,13.8,16,8,6.730000019,9320690.497
452,2017,Indonesia,31,9782,4016,0,0,0,13798,13798,5.069785901,1.51E+11,5666259715,47.374,108393123,2.90417194,111.4498673,6.433,51.80135018,58.88374802,66.86799,2.348724875,4.176558768,5.070014466,365000,10945000000,14691000000,8797528450,1.176197424,6.4,9782,6,3.880000114,24704483.16
614,2017,Mauritius,31,5,0,0,0,0,5,5,3.814152108,611933426.8,22529445.88,25.735,1674395,5.80943251,609.1685181,8,268.3372484,337.8248972,78.89594,19.45434516,32.66906498,5.094111728,100,738000000,2005000000,22633506.64,0.090186811,5.9,5,6,6.75,1307703.808
808,2018,Rwanda,31,145359,423,0,0,3734,145782,149516,8.579424541,43990591.61,129426654.5,38.852,1502478,6.6816082,52.29534531,5.208,18.35477079,13.37541297,75.37431,0.060973974,0.105348981,8.117711643,47000,390000000,547000000,118959174,2.644060783,34.3,145359,11,1.110999942,25782509.25
829,2016,Senegal,31,14575,3213,0,0,0,17788,17788,6.356068572,2210067465,290216742.6,74.9002,9874,4.26078129,54.10780716,5.985,13.56280571,31.16722495,50.27484,0.655970089,1.90704397,5.83509552,24000,277000000,439000000,304764264.2,2.807329667,8.9,14575,6,4.460000038,23285981.39
30,2018,Argentina,31,3442,6102,0,0,410,9544,9954,-2.617396463,14536766294,691258031.1,62.5654,18084553,9.66646481,1127.928467,7.609,692.6174314,431.8984299,58.18388,19.10152239,22.01028152,-3.687890117,16000,13084000000,5999000000,3842852365,1.015808349,3.5,3442,2,9.220000267,4323427.752
52,2016,Austria,31,93242,76382,0,937,0,169624,170561,1.989437162,36750225569,169791601,7.5648,14724774,10.3522625,4709.875977,9.2,3408.049573,1301.825001,78.85646,28.84661223,40.78057906,3.423796679,250,11634000000,20965000000,2885947386,1.081396299,2.5,93242,4,6.010000229,0
129,2017,Brazil,31,10260,85739,0,294,52341,95999,148634,1.322869054,1.16E+11,3474279728,59.111,96395709,9.47124863,940.369751,6.378,392.4951331,547.251771,55.6207,13.90912537,19.42691493,1.591504009,71000,22991000000,6175000000,29261833097,0.807145245,2.5,10260,2,12.81999969,20278233.85
149,2018,Burkina Faso,31,25120,40,47030,0,0,25160,72190,6.604569068,1687082664,417410502.9,102.0658,189545.3369,4.90988731,40.26911545,8.124,17.11735616,17.03723027,51.26807,0.069959364,0.388629381,7.264439812,5100,191000000,179000000,305781079.1,2.866979114,12.7,25120,6,4.690000057,46918402.69
224,2019,Colombia,31,634,9094,7976412,11,400000,9728,8386151,3.281116805,13586279283,503019831.4,64.313,37031843,7.70943594,495.3297119,5.63,356.065139,139.2645676,70.05964,13.80597715,13.93004289,3.541919859,35000,5658000000,6784000000,10167547856,1.356788043,8.8,634,11,9.960000038,62557133.97
241,2018,Cote d'Ivoire,31,1808,198,0,692000,104,2006,694110,6.89028432,7438177613,1127447424,116.1584,825257,3.11891103,72.17318726,10.053,20.97783234,42.33439325,58.34417,0.701728773,1.206251648,5.933824447,3200,625000000,551000000,607848217.9,2.552322341,14.9,1808,6,3.292999983,40271719.13
299,2016,Ecuador,31,102848,24542,0,0,0,127390,127390,-1.226383985,9584747333,309401691.8,79.9576,5099726,7.27991486,441.170929,5.098,267.6188804,172.6911666,57.52173,9.760321861,14.8663256,-1.333781699,289000,1454000000,1729000000,2513200000,1.706874588,9.7,102848,1,4.599999905,18720438.1
383,2016,Ghana,31,11866,1365,0,0,0,13231,13231,3.37346575,3638293008,704475064.5,67.644,359516,3.46157742,66.85624695,7.533,25.64308184,32.65725197,58.03559,0.304038225,0.882980428,2.373997736,7900,1571000000,952000000,161751874.3,2.24660996,7.6,11866,6,5.52699995,23596051.07
453,2018,Indonesia,31,10786,3196,0,0,0,13982,13982,5.17429154,1.71E+11,5832438226,46.9052,115154100.9,2.86757827,111.6594696,6.465,54.35259666,56.85467873,68.184,3.315312884,3.102138512,5.354495998,853000,13171000000,17915000000,7556824711,1.13450698,6.4,10786,6,4.400000095,16182811.44
454,2019,Indonesia,31,10287,3476,0,582,0,13763,14345,5.018159715,1.69E+11,5993430646,46.4364,91323153,2.90493584,120.1249619,6.51,58.78513115,60.67173695,69.57879,3.800218906,3.570296433,4.983775721,463000,14449000000,18405000000,9003028193,1.097926437,6.5,10287,6,3.619999886,56181287.41
475,2016,Israel,31,30529,21274,0,42,0,51803,51845,4.462753818,37594407729,289148216.1,9.9942,6866472,7.17326927,2818.505371,5.2,1784.568641,996.2078215,74.20098,27.84565516,41.19162879,5.405512647,75000,8210000000,6616000000,17488176165,1.960348962,2.5,30529,6,4.800000191,0
506,2017,Kazakhstan,31,602,207,0,8138,0,809,8947,4.1,25555292683,289165800.1,29.75,6903190,3.05244446,281.6177673,7.15,174.6173167,106.4866722,76.87746,14.24832573,20.3904653,2.073515006,7100,2695000000,2356000000,1390619095,1.360381269,2.6,602,6,4.900000095,5415019.788
589,2016,Malaysia,31,92259,56313,0,10931,80000,148572,239503,4.449781398,21607276326,491766626.2,13.361,53817353,3.68569684,361.8544617,4.942,185.4441342,176.4103249,78.27291,8.860455132,15.76423185,4.425747769,18000,11339000000,19682000000,4169374001,1.357359246,3.5,92259,7,3.440000057,2691227.779
634,2018,Mongolia,31,5,0,0,17,5,5,27,7.74488062,2205264000,73696039.19,31.4384,670360,3.85443377,159.3799133,6.316,91.40709941,59.42355962,67.67673,9.657070685,11.66649213,14.17128179,5900,822000000,526000000,96067489.86,1.795910204,5.5,5,9,5.380000114,6238723.009
730,2018,Pakistan,31,1404008,5170,96384,0,0,1409178,1505562,5.836417498,"$22,831,655,701 ","$7,129,852,998.00 ",38.2106,"6,880,637.00",3.20214486,$42.87 ,6.942,15.31682317,27.29937349,55.45628,0.987346239,1.382819913,5.755412126,2100,2959000000,"$845,000,000.00 ","$11,732,131,762.00 ",2.057546095,12.2,1404008,2,4.079999924,63629127.65
734,2016,Panama,31,17332,4465,0,0,0,21797,21797,4.953434937,13582412558,47095506.54,82.8346,13285098,7.32181311,1050.243652,5.024,688.8511581,360.4960454,64.72195,10.64955891,16.17050748,4.016141769,1100,1351000000,6283000000,0,1.713425474,7.8,17332,7,3.263000011,9420561.825
747,2017,Paraguay,31,200,69,0,0,0,269,269,4.810078856,7274505018,83405424.41,70.504,454276,6.60703087,375.3178101,5.465,171.8838646,202.370808,58.036,4.226902892,4.28538497,5.584707605,5200,545000000,399000000,348179657.5,1.307170218,7.8,200,1,4.610000134,5073917.626
760,2018,Philippines,31,631,238,77651,1068,68,869,79656,6.341485571,85483086651,2368415127,54.7592,43080118,3.95381904,128.582489,5.873,49.96304768,78.21889015,60.87374,3.552217048,3.874712599,5.878269934,3802000,12474000000,9715000000,2842618672,1.39596534,9.7,631,1,2.339999914,20259660.41
806,2016,Rwanda,31,156065,456,0,0,1444,156521,157965,5.970744298,-65597428.37,121569273.2,39.4002,644559,6.92619371,51.84296036,5.435,16.63678857,12.77899146,68.97118,0.186145531,0.114861588,5.072410275,9700,364000000,443000000,107278618.7,2.602494011,34.8,156065,10,1.144000053,37976862.73
831,2018,Senegal,31,14359,1699,0,0,0,16058,16058,6.209241034,3302962975,332572956.1,70.716,278438.2886,4.23825741,61.79673004,5.716,14.00180207,34.44517671,54.37982,0.818830296,1.906375946,6.469468568,2,324000000,557000000,385132363.1,2.781879708,7.4,14359,6,3.275000095,32247267.27
877,2017,South Africa,31,88694,191333,0,0,0,280027,280027,1.157946952,8452501198,1631507754,67.908,20821044,8.72262383,534.3883667,9.498,305.2274087,223.367052,65.32778,1.970169807,8.437282208,0.907591322,15000,6068000000,9706000000,3591507613,1.416947254,5.5,88694,5,27.04000092,24315319.96
896,2018,Sri Lanka,31,796,744,35473,0,0,1540,37013,3.272000479,17815215546,267429935,20.6904,5882376,3.91227865,162.1083984,6.651,74.06991332,85.61504203,61.75867,7.274625469,11.65341099,3.188635152,100000,2487000000,5608000000,1638914327,1.048392958,6,796,2,4.320000172,11954857.65
7,2017,Albania,31,124,32,0,4460,2719,156,7335,3.8022274,-103293561.9,34690935.75,19.642,204090,5.01263571,226.2806702,7.714,120.7582351,100.8633006,66.8377,10.52684499,8.554283747,2.44905325,3500,1473000000,2050000000,144382688.7,-0.091972294,4.1,124,8,13.61999989,1552174.997
147,2016,Burkina Faso,31,32551,126,0,0,0,32677,32677,5.957976708,932199476.1,344449878.1,106.5448,144950,5.95963097,40.98265457,8.571,16.42737716,14.93391828,50.92322,0.066415118,0.406122225,5.974460942,18000,176000000,172000000,149467363.2,2.915213081,12.3,32551,6,4.434000015,32033731.49
201,2016,Chile,31,1730,3218,0,0,0,4948,4948,1.711089289,12521611197,311229955.6,43.602,16362437,8.51866722,1171.623047,5.993,581.7443604,589.878633,71.58185,15.95128317,18.53492447,1.552115864,16000,2733000000,3744000000,4796010962,1.325206878,3.1,1730,4,6.739999771,3134329.934
236,2019,Costa Rica,31,6204,87470,0,231,69,93674,93974,2.256315079,5465831718,69239679.31,51.5772,2033146,7.27393246,921.5857544,5.152,668.4804032,253.0957758,69.2383,17.9241816,12.68537418,1.59468038,390,1330000000,4282000000,0,0.957865009,3.1,6204,10,11.48999977,9000759.565
263,2016,Cyprus,31,8478,3049,0,0,6000,11527,17527,6.454554466,181014917.4,17342275.42,4.6978,224653,6.62359428,1634.935547,6.89,689.990273,941.5158121,72.31415,32.57873187,37.50269069,2.809817787,40,1559318481,2870000000,295355010,0.789476882,2.5,8478,7,12.94999981,0
314,2019,El Salvador,31,48,29,71500,0,6800,77,78377,2.382581398,973486563.1,68227191.02,67.7682,2609917,7.16578436,300.0532837,7.07,190.474604,107.6559961,65.25247,8.136417257,13.84710097,3.015822738,1900,504000000,1664000000,317200000,0.509699114,8.5,48,9,4.170000076,8402169.69
389,2016,Greece,31,46411,39960,0,198,0,86371,86569,-0.487173294,-15027919081,212993013,7.4862,12689082,8.32109451,1488.19812,11,775.6728506,708.6576298,67.08976,34.0552614,48.99537785,-0.465165342,2900,3412000000,16811000000,4963484464,-0.415913028,2.5,46411,2,23.54000092,0
391,2018,Greece,31,61446,76057,0,198,0,137503,137701,1.668428636,-14161827740,227045794.7,6.9376,15125933.52,7.95876884,1572.684204,11.2,812.4786248,758.0693751,67.40997,37.6522655,48.26044744,0.164659355,9200,3910000000,21594000000,5757114361,-0.202880238,2.5,61446,2,19.29000092,0
447,2018,India,31,195887,11938,0,0,0,207825,207825,6.532989011,5.61E+11,30056150165,12.0708,164035637.5,2.95175385,60.26567459,7.234,18.12649097,41.63266806,67.49639,1.343296766,1.616701793,6.546803472,2675000,25790000000,29143000000,66257801718,1.037827848,14,195887,9,5.329999924,101994470.9
451,2016,Indonesia,31,7824,6558,0,0,0,14382,14382,5.033069183,1.27E+11,5350546968,47.9942,99274010,3.02147222,107.6494904,6.418,49.00949981,58.07225617,64.66011,1.998572155,4.111125853,5.167672061,1246000,9932000000,12566000000,7396626075,1.220591058,6.8,7824,6,4.300000191,32793158.17
481,2016,Italy,31,147362,99896,0,701,0,247258,247959,1.293462732,45458328634,1140249135,5.3708,29120041,8.72533035,2699.73291,10.1,2008.629163,691.1037444,71.82565,25.65528181,33.40941423,3.138489484,31000,30584000000,42423000000,25033027895,-0.169884073,2.5,147362,2,11.68999958,0
500,2017,Jordan,31,691015,43809,0,0,0,734824,734824,2.087114551,994177648.5,112770656.3,25.877,3381677,7.98199606,337.7554016,3.843,151.3162331,155.0236902,59.92558,3.391889692,3.650201623,2.364639672,160,1496000000,5549000000,1939718310,2.394659322,7.7,2897751,0,18.13999939,225067595.2
501,2018,Jordan,31,715298,52536,0,0,1386,767834,769220,1.934091701,2501010032,116958378,25.8414,3383805,7.78079128,335.2105713,3.864,162.3544243,157.8256016,61.28281,4.009867021,3.704297244,1.97345597,2000,1493000000,6221000000,1957746479,1.817482339,8.2,2957877,0,18.27000046,187465604.8
620,2017,Mexico,31,8993,10357,0,13,0,19350,19363,2.113129135,69334972400,2230777380,60.365,58537832,5.45759058,506.892334,5.933,256.1599097,250.7324452,72.53669,13.62465667,16.63175755,2.167422422,195000,13647000000,22467000000,5062076646,1.16396695,6.1,8993,10,3.420000076,7291516.93
735,2017,Panama,31,2417,7289,0,0,48900,9706,58606,5.591328274,15441345647,44863845.38,81.828,11975372,6.90812922,1046.336792,5.048,669.9402428,375.769343,66.46234,10.74233783,16.13404601,6.994583691,300,1132000000,6827000000,0,1.711544601,7.5,2417,8,3.858999968,13665494.66
748,2018,Paraguay,31,260,350,0,0,0,610,610,3.204250341,6764235741,86124378.61,70.1824,710407,6.71837997,390.0476379,5.498,175.2063671,214.5890409,58.45116,4.610364537,4.352373885,3.195690859,30000,549000000,393000000,386556389.6,1.287874014,7.9,260,1,6.21999979,3542374.208
772,2018,Portugal,31,2130,85,0,14,0,2215,2229,2.849325934,1906642258,100923302.5,8.0012,17367956,9.4126482,2216.306641,11,1355.459946,859.2907096,76.44344,36.90145066,49.47074416,2.516721423,410,6427000000,24366000000,4273809945,-0.160104021,2.5,2130,2,6.989999771,0
865,2018,Slovenia,31,746,245,0,5,0,991,996,4.422521568,4577689578,31804359.16,3.6524,1094762,8.27940369,2169.579102,9.9,1570.968016,598.6110819,76.4142,29.48956054,34.78453796,4.735485941,340,1864300049,3377500000,529496122.7,0.362584395,2.5,746,3,5.110000134,0
878,2018,South Africa,31,89285,184193,0,0,0,273478,273478,1.487617373,3692018079,1716087807,67.8488,24660386,8.85829735,564.5032959,9.435,323.4412527,234.6740764,66.69548,1.915495359,5.788707805,1.487638527,2100,6348000000,9789000000,3622918743,1.363703216,5.5,89285,5,26.90999985,6176363.484
895,2017,Sri Lanka,31,820,629,39322,0,0,1449,40771,3.578169679,18941594684,264587624.2,20.926,5403577,3.59565234,148.78862,6.554,61.011071,83.40497012,59.95122,5.776704617,12.32096771,3.586131166,135000,2409000000,5083000000,1866534439,1.130220486,5.9,820,2,4.050000191,18977685.9
6,2016,Albania,31,141,2750,0,4921,0,2891,7812,3.314980684,-11030549.98,31389422.55,19.8596,26634,4.91601658,202.0133209,7.534,115.212352,84.38040584,64.16093,9.228640975,8.614077281,3.731449483,3100,1338000000,1821000000,130853162.6,-0.159880412,4.3,141,6,15.42000008,3329092.086
20,2018,Angola,31,39856,30128,0,0,0,69984,69984,-2.003629727,14586863773,682431328.9,147.958,1516628,2.54010224,87.31073761,8.19,36.73723231,47.66218016,41.20205,0.355604536,0.557803272,-3.898864138,11000,762000000,557000000,1983613748,3.276144588,15.5,39856,1,7.421000004,20435091.57
31,2019,Argentina,31,3857,7992,0,0,443,11849,12292,-2.025934237,16097491044,628522313.9,62.3488,19461377,9.5100708,945.9919434,7.604,589.9282328,353.6923188,58.96151,19.63610555,17.32274615,-2.350600803,23000,9845000000,5654000000,3132654926,0.993397493,3.9,3857,2,9.840000153,12397309.75
131,2019,Brazil,31,32844,207294,0,7,0,240138,240145,1.411152985,79187745907,2996136350,56.6606,102917546,9.5912714,853.3879395,6.531,347.6769299,504.4660883,59.08307,15.5920738,15.97391735,1.522875144,295000,21178000000,6127000000,25906871197,0.751550842,2.5,32844,2,11.93000031,36643039.93
142,2017,Bulgaria,31,19166,2712,0,48,0,21878,21926,2.76217096,6566439041,179964767,39.86,1133069,7.5206337,624.5250244,15.5,343.0952427,281.4541274,71.69407,25.29667253,18.16069229,1.468413592,22,2047000000,4663000000,720037970.9,-0.730443175,3.1,19166,8,6.159999847,0
203,2018,Chile,31,2026,11993,0,0,1989,14019,16008,3.713859177,7760083335,361471395.7,40.1384,19517185,9.15850449,1455.116699,6.163,739.5157502,715.6010002,72.32025,17.35736146,16.00281059,3.346873075,2500,3124000000,3911000000,5545831933,1.391064233,3,2026,4,7.230000019,0
300,2017,Ecuador,31,92405,11895,0,0,41000,104300,145300,2.368386526,9891518614,307380213.1,79.261,5121235,7.42857885,461.57547,5.101,282.3891008,178.5689717,57.49538,10.59617961,14.3887522,1.888476304,3000,1463000000,2018000000,2462700000,1.768502796,10.7,92405,1,3.839999914,14137128.71
354,2017,France,31,337158,63115,0,1425,0,400273,401698,2.291419994,1.23E+11,1009296655,4.727,68316473,11.33276176,4402.07959,9.1,3339.206923,1062.874057,76.01011,43.92180444,59.72625149,2.014161417,21000,53787000000,67717000000,49195662250,0.290202116,2.5,337158,4,9.409999847,0
355,2018,France,31,368345,89055,0,1493,0,457400,458893,1.865066071,1.34E+11,1083732858,4.7362,70188028,11.18583012,4657.75293,9.1,3536.843883,1120.909571,76.77957,44.77576734,58.67318077,1.546477908,6300,59131000000,72518000000,51409812839,0.274451849,2.5,368345,4,9.020000458,0
